"url","img_src","product-grid--title"
"https://www.roushperformance.com/collections/vehicles-archive/products/2019-roush-raptor","https://www.roushperformance.com/cdn/shop/files/2019-ROUSH-RAPTOR.jpg?v=1727796234&width=1445","2019 Roush Raptor"
"https://www.roushperformance.com/collections/vehicles-archive/products/2019-roush-f-150-sport","https://www.roushperformance.com/cdn/shop/files/2019-ROUSH-F-150-SPORT.jpg?v=1701209017&width=1445","2019 Roush F-150 Sport"
"https://www.roushperformance.com/collections/vehicles-archive/products/2019-roush-f-150-sc","https://www.roushperformance.com/cdn/shop/files/2019-ROUSH-F-150-SC.jpg?v=1727796207&width=1445","2019 Roush F-150 SC"
"https://www.roushperformance.com/collections/vehicles-archive/products/2019-roush-f-150-nitemare","https://www.roushperformance.com/cdn/shop/files/2019-nitemare-f150-lifestyle-2000px_241e013d-8cbf-41c4-a77e-51c927f879a6.jpg?v=1727795238&width=1445","2019 ROUSH F-150 NITEMARE"
"https://www.roushperformance.com/collections/vehicles-archive/products/2019-roush-f-150","https://www.roushperformance.com/cdn/shop/files/2019-ROUSH-F-150.jpg?v=1727796422&width=1445","2019 ROUSH F-150"
"https://www.roushperformance.com/collections/vehicles-archive/products/2018-roush-super-duty-f-250","https://www.roushperformance.com/cdn/shop/files/2018_ROUSH_SUPER_DUTY_F-250.jpg?v=1701717339&width=1445","2018 Roush SUPER DUTY F-250"
"https://www.roushperformance.com/collections/vehicles-archive/products/2018-roush-stage-2-mustang","https://www.roushperformance.com/cdn/shop/files/2018-ROUSH_STAGE_2_MUSTANG.jpg?v=1701710714&width=1445","2018 Roush STAGE 2 MUSTANG"
"https://www.roushperformance.com/collections/vehicles-archive/products/2018-roush-stage-1-mustang","https://www.roushperformance.com/cdn/shop/files/2018_ROUSH_STAGE_1_MUSTANG.jpg?v=1701710272&width=1445","2018 ROUSH STAGE 1 MUSTANG"
"https://www.roushperformance.com/collections/vehicles-archive/products/2018-roush-raptor","https://www.roushperformance.com/cdn/shop/files/2018_ROUSH_RAPTOR.jpg?v=1701709820&width=1445","2018 Roush RAPTOR"
"https://www.roushperformance.com/collections/vehicles-archive/products/2018-roush-jackhammer-mustang","https://www.roushperformance.com/cdn/shop/files/2018_ROUSH_JACKHAMMER_MUSTANG.jpg?v=1701708973&width=1445","2018 Roush JACKHAMMER MUSTANG"
