"url","img_src","year_make_model","price"
"https://www.ebay.com/itm/336321536102?itmmeta=01KD7AGEHDNH3YBFFK232AZP98&hash=item4e4e536066:g:q3oAAeSwvxhpLMUB&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02s4tc4SK32Ix6n8UGtzmA%2BOE88IjN9r0UEs3rfN5AZOtB2zGQDuiYIFg082xpEouwf9xs9UEeUpt51ZPswj1vLuRWpQ3gp9wDhx8rWr%2FwYwvQpCuSwbgh9ycoKEimVlDVZw9u%2F%2BnurJCvUw3b1RJteOdLqiyur06rsvx5Rwapf87Vo0K9ECT3ZT8lfsUyFGj13Ns7pKZ31rpaC6wtxFVh%2BDfn%2FV1yfu37RQ0TdJIAHCwiCI62IXM9i3LTr%2FafvAmhIZJAsddADbutlDt4SMzMGE%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/q3oAAeSwvxhpLMUB/s-l1600.webp","1970 AMC AMX","$49,900.00"
"https://www.ebay.com/itm/336311543778?itmmeta=01KD7AGEHD3KGZ4M1S900EFYRR&hash=item4e4dbae7e2:g:0rMAAeSwWUdo0vJX&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02smV5y7k0SRZOlWpbXPSsf8HM6XPKMD07hh3GXlDi9phJdRJ7%2BiJp0w%2B1002g5dxtzyqYnSrHUGleN6XWrpHZcGZkq72T7ypsl89dhau%2BA%2BWsRCN3SIginHB8PN2bslSLFe0NvhwVJarW3IYWIAROMSVuskFz49xqIn2HAyptoUJtcMXIcDDpLFk9ekfbmQUjdMFxoy5IEOnZJlqzHnW7eO0SdZoJ99QjmP3PW613uYSZzPLHnj0Rls2lVFlWBeGqConwque%2F7Sq%2BpQxYKuOFws%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/0rMAAeSwWUdo0vJX/s-l1600.webp","1974 AMC Hornet Sportabout Wagon | Clean | 90+ HD Pictures","$17,995.00"
"https://www.ebay.com/itm/397403992858?itmmeta=01KD7AGEHDEJ1YAKR6W1PCXGKD&hash=item5c871fb31a:g:rWkAAeSwIfxpOjjk&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02tJYI9MWKgkWvb5ezutQokG%2F2mazsxK91OSovw8DHqvSZSgN4YxFyub7TbRkmigVTkuNPJ6sN5kn7uVtlCcaQ0GyZzV8I3bN7c2QzyQVpPzwOS7D%2F9xIx4reVyoq98y38D8RiMJIKACqw8BmcG9MnafQ73O3iyIepUECuGZVlytQcmJQaFtNEhDIzun16URS6y6oOtOtrd9hiabpzJj8pGfrjxECElSFmMGlhYBO82rzw%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/rWkAAeSwIfxpOjjk/s-l1600.webp","1969 AMC AMX 390 V8, 4-Speed","$18,600.00"
"https://www.ebay.com/itm/187863781506?itmmeta=01KD7AGEHD4ZXQG4CZ3S16QWJG&hash=item2bbd8dd082:g:2-QAAOSwrOBmLtJc&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02tbAU29pdecEmZlcOTqQSs0aPvxxfMzVDtuZok%2FXbLu7FSGls3%2FSQZDDCFRpjcVRjRjLSFE6J7Q%2BAdA4%2BWW4098OKQ8SxV5IRaExk%2Bfuib3QYWOSoGDuEtsZbVyA8JDpuaFYN4e9HfQ1a%2FvMVDDeuXTrXpQdC3YDATfgPe5756LW7U6R6xWlidKFlASlwTw%2FhJi4auhYFyr02GFxtsjkR1vudxYAAI48UKu2XMPkHBNPzLGHTiXcnU2ZAcvBENF1Sh8mraOL6TijBrkah2KDunt%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/2-QAAOSwrOBmLtJc/s-l1600.webp","1963 AMC Rambler","$25,000.00"
"https://www.ebay.com/itm/147008019326?itmmeta=01KD7AGEHDS5GGX1VJSDH4FNRH&hash=item223a5c5b7e:g:tI8AAeSw9OlpO3gz&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02s5HnVuM0Xxsz%2FyB4JcV72ruhj2Yf2MGyI62FBz8X8LV0gW7kVvPK8UV3TLQJLqgYGphRI%2BHKuamLRrSwMwSL4QOT9LncHzxPiOOF6Oa9KJm1QuQyKFuBWFqAb4M9618U%2FNV37LipCTILyEonX7%2FOCrik5E6GkGHhQihgfeo0AoDNu%2BJokMg7QwtaVdno1rqp6XGUGbB9G9K0Qi3Ohe5D3gcbu4%2FEOv%2FELTQ0MhRzPYdtddYZO0WI72nQ4jBWQu1lyYBV0WvPjzLDmxjKbM0hil%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/tI8AAeSw9OlpO3gz/s-l1600.webp","1987 AMC Eagle Wagon","$12,900.00"
"https://www.ebay.com/itm/147012710601?itmmeta=01KD7AGEHDFQ6B1ZCK4W093CSJ&hash=item223aa3f0c9:g:S4YAAeSwFJJpO3TB&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02vQWOuG%2FVZ2yPxSI1hgrBw3P3VD4mAQ1yerfFBLkhLDjaegkX7A%2BWXKzaA77RLVqRsSsNRrbB%2BDa%2FLot2rv7plMEVNFCWvrte0%2Bxeqfeo3PSkeFGr9haLrgt0U%2B5IpdkZ6chw1CywT0YFwLy4j%2BPNfLLq1vRE5h6iANcI9fAQYTTN%2FlWlCO7eXuR7fXpe0lFzoENBtV6vmfJbN4k%2BUtPjZN2%2FCplOMHr%2BAcWMk29nTUEA%3D%3D%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/S4YAAeSwFJJpO3TB/s-l1600.webp","1959 AMC Rambler American","$17,900.00"
"https://www.ebay.com/itm/168004850998?itmmeta=01KD7AGEHDR2X38V49TVY8A68E&hash=item271dde9536:g:W-UAAeSwknRorlXb&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02s6VSAlNy9q%2BlTBB3jKZMoudepcuBRwDH07NAY%2BVQk4808V7ycodt9rXwZAmEB7F0dLrHqgQ9YdMzSYHuIBhfIrbTrGhg5Dn%2B7%2FPrUqYlEGqQuAMkV9ynMBfft1IqQ212fQTtHeHyvxOCNClbRXhult4dvMAH3uG2KJfZJ5mNE3u6z8L183NUVzkEeeZose7KtYS9QPlAz%2B5Es9%2Blbqf%2FSi44WMF7v6Fe8TZhw%2FCfysSfGVq0KJHVY3KkwoNUk%2FUkcIRny2SJQN%2FmjWPOaCFG3S%7Ctkp%3ABk9SR_DowerpZg","https://i.ebayimg.com/images/g/W-UAAeSwknRorlXb/s-l1600.webp","1970 AMC AMX","$46,000.00"
"https://www.ebay.com/itm/227131016703?itmmeta=01KD7AGEHDQSK3KD5JE9C3QVV2&hash=item34e21045ff:g:Pm0AAeSwzktpPiQW&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02vAHwO8HVXNFIcC694Xoz6klu5hA7S7hwq85pnpYEIWk1OZpao6Dm%2BzWhxn5Wf9rjVoKR4nwBX2yvonQKKrI%2FnyZBKG5O%2BXLeeGsCJxAPxyC1bHhrlHrngtXKpvIlaDNzqM9GLyuqbGE7s%2BiXFCklBCKMWNUHE4Uaw8gjowwyalgf5vCExb%2BV6B%2FNZFt%2FUoEW3SFO9mUjfrd5q1W3qZDN1cRd7HuRprMMD8ttE4EMsetQ%3D%3D%7Ctkp%3ABk9SR_LowerpZg","https://i.ebayimg.com/images/g/Pm0AAeSwzktpPiQW/s-l1600.webp","1976 AMC Pacer X","$34,988.00"
"https://www.ebay.com/itm/177643255359?itmmeta=01KD7AGEHEP81VWQ5TRT0RB1JE&hash=item295c5cf63f:g:6gAAAeSwzwxo6TeN&itmprp=enc%3AAQAKAAAAwNHOg0D50eDiCdi%2FfP0r02uqDtLaD0XrZCktw262RHUqW3L8R9mxLNtiR%2Fj7pzQSsGjJKkxQl%2BzNCZJqoDFG%2BeX3L9l2ICqmIpkZvZs813V0YAmQ5beEUnPEUMeHWKOudYKj0tPskUQcA1ciuKPtHtgllRixE0ID8%2FrIAPa63neCj5QdcOm1KT99GqxUs8gNU3DR4ftYWQjqETcZw%2FSt73Mh6zFxW2TVYfkAiqXk1S%2BhGfhJMXoaybcDLQQhO0s%2BZA%3D%3D%7Ctkp%3ABk9SR_LowerpZg","https://i.ebayimg.com/images/g/6gAAAeSwzwxo6TeN/s-l1600.webp","1974 AMC Hornet","$22,900.00"
"https://www.ebay.com/itm/147027730687?itmmeta=01KD7AGEHEAYVQ5NZ5Y95133T7&hash=item223b8920ff:g:rsUAAeSwsoNpPMJ4&itmprp=enc%3AAQAKAAAA4NHOg0D50eDiCdi%2FfP0r02tFCiXIwRRnuEuHcEpATW%2FYz2S0qRtV5JCk2QWiodRXs6Na%2FMttUfHqiqp74Mrv%2BiF9JJQz3KPJLBhr1hQiaFWGJ7ZXNjf8B4rI7MoiVPa348NyPfBlAmGxroOxStMglFSsZVHBuRDIKsUTlipCBA9hDcOngdJnN1h7o0YLfgzejbxnngmukCSjzzdp6NxUC0KVj3fWnd2G0bAw2iiPaGXlPLLP6dE2u5j2GS%2B3%2Bt59e6r%2FH7ZLfZFi0KLvQtTGH2LV9FQzEU5F70R01JbIfUTy%7Ctkp%3ABk9SR_LowerpZg","https://i.ebayimg.com/images/g/rsUAAeSwsoNpPMJ4/s-l1600.webp","1969 AMC Javelin SST","$36,900.00"
