"url","title","location","car-price-frame","details 2","details 3","details 4"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MR2/700060235530251123001/","TOYOTA MR2
                                                    GT","Shizuoka Japan","¥4,910,000","RED","-    
                                                                                                                km","2000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700052027030251130001/","TOYOTA GR YARIS
                                                    RZ","Saitama Japan","¥4,864,900","GRAY M","10,424
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700053027730230207001/","TOYOTA MARK II","Kanagawa Japan","¥4,855,000","PEARL M","110,000
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700030197530251029001/","TOYOTA CHASER
                                                    TOURER V EXCITING PACKAGE","Hokaido Japan","¥4,925,000","BLACK","196,999
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020504730250615001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Aichi Japan","¥4,833,000","PEARL WHITE","81
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/945025073000204401001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Aichi Japan","¥4,833,000","BLACK","11,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700071010730251104002/","TOYOTA GR YARIS
                                                    RZ","Kyoto Japan","¥4,808,800","PEARL WHITE","350
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020880330251208001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Aichi Japan","¥4,800,000","BLACK M","21,567
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700070594730210727005/","TOYOTA CHASER","Hyogo Japan","¥4,745,000","DARK RED M","-    
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700110003530241202003/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE FIRST EDITION","Kumamoto Japan","¥4,734,000","WINE","33,000
                                                                                                                km","1600cc"
